"iNaturalist.taxon.name","iNaturalist.taxon.ID","Taxon.name","Author","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Tribe","Genus","Species","observationId","Latitude","Longitude","Date.observed","Description","Common.name","Recorded.by","Captive.Cultivated","Quality.grade","coordinateUncertaintyInMeters"
"Callophrys gryneus plicataria",234704,"Callophrys gryneus plicataria",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Lepidoptera","","","Papilionoidea","Lycaenidae","Theclinae","Eumaeini","Callophrys","gryneus","iNat:1563736",48.930033,-123.467231,"2015-05-28",NA,NA,"Andrew Simon","false","research",87
"Agelenidae",47345,"Agelenidae",NA,"Animalia","Arthropoda","Chelicerata","","Arachnida","","","Araneae","Araneomorphae","Entelegynae","Agelenoidea","Agelenidae","","","","","iNat:1563796",48.928624,-123.468046,"2015-05-28",NA,NA,"Andrew Simon","false","needs_id",87
"Adela septentrionella",317689,"Adela septentrionella",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Lepidoptera","","","Adeloidea","Adelidae","Adelinae","","Adela","septentrionella","iNat:1564628",48.926909,-123.466072,"2015-05-14",NA,NA,"Andrew Simon","false","research",174
"Enallagma",50175,"Enallagma",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Odonata","Zygoptera","","Coenagrionoidea","Coenagrionidae","","","Enallagma","","iNat:1637889",48.933417,-123.484011,"2015-06-05",NA,NA,"Andrew Simon","false","needs_id",13809
"Rhionaeschna multicolor",67737,"Rhionaeschna multicolor",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Odonata","Anisoptera","","Aeshnoidea","Aeshnidae","","","Rhionaeschna","multicolor","iNat:1690511",48.93137,-123.477745,"2015-06-24",NA,NA,"Andrew Simon","false","research",43
"Leptoglossus occidentalis",67771,"Leptoglossus occidentalis",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Hemiptera","Heteroptera","Pentatomomorpha","Coreoidea","Coreidae","Coreinae","Anisoscelini","Leptoglossus","occidentalis","iNat:1728336",48.929608,-123.475878,"2015-07-02",NA,NA,"Andrew Simon","false","research",43
"Vanessa cardui",48548,"Vanessa cardui",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Lepidoptera","","","Papilionoidea","Nymphalidae","Nymphalinae","Nymphalini","Vanessa","cardui","iNat:1809718",48.930549,-123.475578,"2015-05-31",NA,NA,"Andrew Simon","false","research",73
"Melanostoma mellinum",324344,"Melanostoma mellinum",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Diptera","Brachycera","Cyclorrhapha","","Syrphidae","Syrphinae","Melanostomini","Melanostoma","mellinum","iNat:1838789",48.931187,-123.476833,"2015-08-04",NA,NA,"Andrew Simon","false","research",43
"Malthodes",177174,"Malthodes",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Coleoptera","Polyphaga","Elateriformia","Elateroidea","Cantharidae","Malthininae","Malthodini","Malthodes","","iNat:1838797",48.931308,-123.480792,"2015-05-28",NA,NA,"Andrew Simon","false","needs_id",174
"Melanoplus sanguinipes",129240,"Melanoplus sanguinipes",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Orthoptera","Caelifera","Acrididea","Acridoidea","Acrididae","Melanoplinae","Melanoplini","Melanoplus","sanguinipes","iNat:1930967",48.931251,-123.474312,"2015-08-28",NA,NA,"Andrew Simon","false","research",174
"Lygaeus kalmii",62045,"Lygaeus kalmii",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Hemiptera","Heteroptera","Pentatomomorpha","Lygaeoidea","Lygaeidae","Lygaeinae","","Lygaeus","kalmii","iNat:1930975",48.932904,-123.474956,"2015-08-28",NA,NA,"Andrew Simon","false","research",87
"Lasioglossum",57678,"Lasioglossum",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Hymenoptera","Apocrita","Aculeata","Apoidea","Halictidae","Halictinae","Halictini","Lasioglossum","","iNat:1930983",48.931206,-123.477402,"2015-08-28",NA,NA,"Andrew Simon","false","needs_id",244
"Calyptratae",342767,"Calyptratae",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Diptera","Brachycera","Cyclorrhapha","","","","","","","iNat:1930990",48.930981,-123.476028,"2015-08-28",NA,NA,"Andrew Simon","false","needs_id",102
"Andrena",57669,"Andrena",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Hymenoptera","Apocrita","Aculeata","Apoidea","Andrenidae","Andreninae","Andrenini","Andrena","","iNat:2022620",48.932261,-123.484676,"2015-03-18",NA,NA,"Andrew Simon","false","needs_id",87
"Dolichovespula maculata",52911,"Dolichovespula maculata",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Hymenoptera","Apocrita","Aculeata","Vespoidea","Vespidae","Vespinae","","Dolichovespula","maculata","iNat:2024006",48.931229,-123.477412,"2015-09-27",NA,NA,"Andrew Simon","false","research",43
"Megachile perihirta",224501,"Megachile perihirta",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Hymenoptera","Apocrita","Aculeata","Apoidea","Megachilidae","Megachilinae","Megachilini","Megachile","perihirta","iNat:2024442",48.929526,-123.475964,"2015-09-27",NA,NA,"Andrew Simon","false","research",87
"Syrphini",121991,"Syrphini",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Diptera","Brachycera","Cyclorrhapha","","Syrphidae","Syrphinae","Syrphini","","","iNat:2025082",48.926627,-123.466372,"2015-05-14",NA,NA,"Andrew Simon","false","needs_id",174
"Halictini",335597,"Halictini",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Hymenoptera","Apocrita","Aculeata","Apoidea","Halictidae","Halictinae","Halictini","","","iNat:2025334",48.9308,-123.476672,"2015-08-28",NA,NA,"Andrew Simon","false","needs_id",174
"Andrena",571358,"Andrena",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Hymenoptera","Apocrita","Aculeata","Apoidea","Andrenidae","Andreninae","Andrenini","Andrena","","iNat:2025738",48.929729,-123.472466,"2015-03-13",NA,NA,"Andrew Simon","false","needs_id",174
"Andrena",57669,"Andrena",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Hymenoptera","Apocrita","Aculeata","Apoidea","Andrenidae","Andreninae","Andrenini","Andrena","","iNat:2026010",48.929334,-123.470922,"2015-03-13",NA,NA,"Andrew Simon","false","needs_id",174
"Rhionaeschna multicolor",67737,"Rhionaeschna multicolor",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Odonata","Anisoptera","","Aeshnoidea","Aeshnidae","","","Rhionaeschna","multicolor","iNat:2563589",48.930063,-123.475084,"2015-06-05",NA,NA,"Lauren Magner","false","research",48
"Cercopoidea",56194,"Cercopoidea",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Hemiptera","Auchenorrhyncha","Cicadomorpha","Cercopoidea","","","","","","iNat:2563653",48.931748,-123.479033,"2015-06-05",NA,NA,"Lauren Magner","false","needs_id",174
"Geometridae",49530,"Geometridae",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Lepidoptera","","","Geometroidea","Geometridae","","","","","iNat:2565740",48.930197,-123.467402,"2015-02-12",NA,NA,"Lauren Magner","false","needs_id",87
"Cerambycidae",47961,"Cerambycidae",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Coleoptera","Polyphaga","Cucujiformia","Cerambycoidea","Cerambycidae","","","","","iNat:2565742",48.930197,-123.467402,"2015-02-12",NA,NA,"Lauren Magner","false","needs_id",87
"Gerrini",936827,"Gerrini",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Hemiptera","Heteroptera","Gerromorpha","Gerroidea","Gerridae","Gerrinae","Gerrini","","","iNat:2566025",48.877976,-123.322005,"2015-02-23",NA,NA,"Andrew Simon","false","needs_id",21
"Diplolepis rosae",205320,"Diplolepis rosae",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Hymenoptera","Apocrita","Proctotrupomorpha","Cynipoidea","Cynipidae","Cynipinae","Diplolepidini","Diplolepis","rosae","iNat:2566234",48.929887,-123.475685,"2015-02-22",NA,NA,"Andrew Simon","false","research",118
"Brachypalpus alopex",871285,"Brachypalpus alopex",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Diptera","Brachycera","Cyclorrhapha","","Syrphidae","Eristalinae","Milesiini","Brachypalpus","alopex","iNat:2569427",48.871829,-123.311663,"2015-03-24",NA,NA,"Lauren Magner","false","research",87
"Rosalia funebris",51866,"Rosalia funebris",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Coleoptera","Polyphaga","Cucujiformia","Cerambycoidea","Cerambycidae","Cerambycinae","Compsocerini","Rosalia","funebris","iNat:2583331",48.879249,-123.319325,"2013-08-10",NA,NA,"","false","research",2
"Gerrini",936827,"Gerrini",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Hemiptera","Heteroptera","Gerromorpha","Gerroidea","Gerridae","Gerrinae","Gerrini","","","iNat:2589266",48.929887,-123.467703,"2015-03-13",NA,NA,"Lauren Magner","false","needs_id",160
"Diplolepis rosae",205320,"Diplolepis rosae",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Hymenoptera","Apocrita","Proctotrupomorpha","Cynipoidea","Cynipidae","Cynipinae","Diplolepidini","Diplolepis","rosae","iNat:2599932",48.930654,-123.475256,"2015-08-05",NA,NA,"Andrew Simon","false","research",87
"Notonectidae",56556,"Notonectidae",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Hemiptera","Heteroptera","Nepomorpha","Notonectoidea","Notonectidae","","","","","iNat:2629766",48.890455,-123.347454,"2015-05-28",NA,NA,"Lauren Magner","false","needs_id",87
"Aeshna palmata",67726,"Aeshna palmata",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Odonata","Anisoptera","","Aeshnoidea","Aeshnidae","","","Aeshna","palmata","iNat:2635607",48.92028,-123.450623,"2007-11-03",NA,NA,"","false","research",21
"Formica",47339,"Formica",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Hymenoptera","Apocrita","Aculeata","Formicoidea","Formicidae","Formicinae","Formicini","Formica","","iNat:2663693",48.930845,-123.473969,"2015-05-31",NA,NA,"Lauren Magner","false","needs_id",698
"Ixodes pacificus",60599,"Ixodes pacificus",NA,"Animalia","Arthropoda","Chelicerata","","Arachnida","Acari","Parasitiformes","Ixodida","","","","Ixodidae","","","Ixodes","pacificus","iNat:2696163",48.865799,-123.331146,"2016-02-18",NA,NA,"","false","casual",2794
"Calyptratae",342767,"Calyptratae",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Diptera","Brachycera","Cyclorrhapha","","","","","","","iNat:2738446",48.929819,-123.475353,"2016-02-29",NA,NA,"Andrew Simon","false","needs_id",43
"Noctua pronuba",81687,"Noctua pronuba",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Lepidoptera","","","Noctuoidea","Noctuidae","Noctuinae","Noctuini","Noctua","pronuba","iNat:2763247",48.906683,-123.356509,"2016-03-03",NA,NA,"Andrew Simon","false","research",87
"Pollenia",133825,"Pollenia",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Diptera","Brachycera","Cyclorrhapha","Oestroidea","Polleniidae","","","Pollenia","","iNat:2780418",48.928246,-123.467703,"2016-03-06",NA,NA,"Andrew Simon","false","needs_id",21
"Orthosia transparens",226651,"Orthosia transparens",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Lepidoptera","","","Noctuoidea","Noctuidae","Noctuinae","Orthosiini","Orthosia","transparens","iNat:2822928",48.868814,-123.346038,"2016-03-22",NA,NA,"Andrew Simon","false","research",152
"Hyalophora euryalus",50913,"Hyalophora euryalus",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Lepidoptera","","","Bombycoidea","Saturniidae","Saturniinae","Attacini","Hyalophora","euryalus","iNat:2883239",48.878622,-123.31706,"2015-05-26",NA,NA,"Nomadkris","false","research",107
"Papilio eurymedon",55521,"Papilio eurymedon",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Lepidoptera","","","Papilionoidea","Papilionidae","Papilioninae","Papilionini","Papilio","eurymedon","iNat:2887581",48.890455,-123.347282,"2015-06-20",NA,NA,"Bridget Spencer","false","research",349
"Bombylius major",51557,"Bombylius major",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Diptera","Brachycera","Orthorrhapha","Asiloidea","Bombyliidae","Bombyliinae","Bombyliini","Bombylius","major","iNat:2926958",48.928851,-123.460536,"2016-04-09",NA,NA,"Nomadkris","false","research",137
"Trombidioidea",491889,"Trombidioidea",NA,"Animalia","Arthropoda","Chelicerata","","Arachnida","Acari","Acariformes","Trombidiformes","Parasitengona","Trombidia","Trombidioidea","","","","","","iNat:2953981",48.928197,-123.446166,"2016-04-12",NA,NA,"","false","needs_id",NA
"Empidoidea",318504,"Empidoidea",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Diptera","Brachycera","Orthorrhapha","Empidoidea","","","","","","iNat:2954225",48.887295,-123.347626,"2016-04-15",NA,NA,"","false","needs_id",2794
"Eratigena duellica",750907,"Eratigena duellica",NA,"Animalia","Arthropoda","Chelicerata","","Arachnida","","","Araneae","Araneomorphae","Entelegynae","Agelenoidea","Agelenidae","Ageleninae","","Eratigena","duellica","iNat:2979490",48.878182,-123.320535,"2016-04-18",NA,NA,"","false","needs_id",43
"Formicidae",47336,"Formicidae",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Hymenoptera","Apocrita","Aculeata","Formicoidea","Formicidae","","","","","iNat:3027257",48.866764,-123.33606,"2016-04-23",NA,NA,"Andrew Simon","false","needs_id",99
"Culicinae",357355,"Culicinae",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Diptera","Nematocera","Culicomorpha","Culicoidea","Culicidae","Culicinae","","","","iNat:3027595",48.866764,-123.33606,"2016-04-23",NA,NA,"Andrew Simon","false","needs_id",158
"Lygaeus kalmii",62045,"Lygaeus kalmii",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Hemiptera","Heteroptera","Pentatomomorpha","Lygaeoidea","Lygaeidae","Lygaeinae","","Lygaeus","kalmii","iNat:3028065",48.866764,-123.33606,"2016-04-23",NA,NA,"Andrew Simon","false","research",158
"Camponotus",62781,"Camponotus",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Hymenoptera","Apocrita","Aculeata","Formicoidea","Formicidae","Formicinae","Camponotini","Camponotus","","iNat:3040881",48.867549,-123.339915,"2016-04-23",NA,NA,"Lauren Magner","false","needs_id",174
"Lycosidae",47416,"Lycosidae",NA,"Animalia","Arthropoda","Chelicerata","","Arachnida","","","Araneae","Araneomorphae","Entelegynae","Lycosoidea","Lycosidae","","","","","iNat:3094607",48.91625,-123.424959,"2016-05-03",NA,NA,"Andrew Simon","false","needs_id",268
"Formicidae",47336,"Formicidae",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Hymenoptera","Apocrita","Aculeata","Formicoidea","Formicidae","","","","","iNat:3098586",48.91687,-123.423243,"2016-05-03",NA,NA,"Andrew Simon","false","needs_id",337
"Panthea virginarius",226911,"Panthea virginarius",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Lepidoptera","","","Noctuoidea","Noctuidae","Pantheinae","","Panthea","virginarius","iNat:3114025",48.879154,-123.319774,"2016-05-06",NA,NA,"Andrew Simon","false","research",21
"Harpaphe haydeniana",47737,"Harpaphe haydeniana",NA,"Animalia","Arthropoda","Myriapoda","","Diplopoda","Chilognatha","Merocheta","Polydesmida","Leptodesmidea","","Xystodesmoidea","Xystodesmidae","Xystodesminae","Xystodesmini","Harpaphe","haydeniana","iNat:3121237",48.915906,-123.422921,"2016-05-07",NA,NA,"","false","research",87
"Crambus pascuella",333907,"Crambus pascuella",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Lepidoptera","","","Pyraloidea","Crambidae","Crambinae","Crambini","Crambus","pascuella","iNat:3296248",48.983659,-123.556323,"2016-05-24",NA,NA,"Lauren Magner","false","research",204
"Bombus vancouverensis vancouverensis",1020322,"Bombus vancouverensis vancouverensis",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Hymenoptera","Apocrita","Aculeata","Apoidea","Apidae","Apinae","Bombini","Bombus","vancouverensis","iNat:3296346",48.983659,-123.556323,"2016-05-24",NA,NA,"Lauren Magner","false","research",204
"Bombus sitkensis",142269,"Bombus sitkensis",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Hymenoptera","Apocrita","Aculeata","Apoidea","Apidae","Apinae","Bombini","Bombus","sitkensis","iNat:3296377",48.983659,-123.556323,"2016-05-24",NA,NA,"Lauren Magner","false","needs_id",204
"Polistes dominula",84640,"Polistes dominula",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Hymenoptera","Apocrita","Aculeata","Vespoidea","Vespidae","Polistinae","Polistini","Polistes","dominula","iNat:3296399",48.983659,-123.556323,"2016-05-24",NA,NA,"Lauren Magner","false","research",204
"Apis mellifera",47219,"Apis mellifera",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Hymenoptera","Apocrita","Aculeata","Apoidea","Apidae","Apinae","Apini","Apis","mellifera","iNat:3296418",48.983659,-123.556323,"2016-05-24",NA,NA,"Lauren Magner","false","research",204
"Cordulia shurtleffii",98430,"Cordulia shurtleffii",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Odonata","Anisoptera","","Libelluloidea","Corduliidae","","","Cordulia","shurtleffii","iNat:3296434",48.983659,-123.556323,"2016-05-24",NA,NA,"Lauren Magner","false","research",204
"Papilio eurymedon",55521,"Papilio eurymedon",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Lepidoptera","","","Papilionoidea","Papilionidae","Papilioninae","Papilionini","Papilio","eurymedon","iNat:3296670",48.890076,-123.344225,"2016-05-14",NA,NA,"Andrew Simon","false","research",21
"Philodromus",56611,"Philodromus",NA,"Animalia","Arthropoda","Chelicerata","","Arachnida","","","Araneae","Araneomorphae","Entelegynae","Thomisoidea","Philodromidae","","","Philodromus","","iNat:3296681",48.879084,-123.319699,"2016-05-14",NA,NA,"Andrew Simon","false","needs_id",21
"Lepidoptera",47157,"Lepidoptera",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Lepidoptera","","","","","","","","","iNat:3296699",48.915974,-123.424809,"2016-05-14",NA,NA,"Lauren Magner","false","needs_id",201
"Bombus",52775,"Bombus",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Hymenoptera","Apocrita","Aculeata","Apoidea","Apidae","Apinae","Bombini","Bombus","","iNat:3296734",48.915974,-123.424809,"2016-05-14",NA,NA,"Lauren Magner","false","needs_id",201
"Pyrobombus",538900,"Pyrobombus",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Hymenoptera","Apocrita","Aculeata","Apoidea","Apidae","Apinae","Bombini","Bombus","","iNat:3296779",48.915974,-123.424809,"2016-05-14",NA,NA,"Lauren Magner","false","needs_id",201
"Lophocampa argentata",84792,"Lophocampa argentata",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Lepidoptera","","","Noctuoidea","Erebidae","Arctiinae","Arctiini","Lophocampa","argentata","iNat:3296798",48.915974,-123.424809,"2016-05-14",NA,NA,"Lauren Magner","false","research",201
"Criorhina coquilletti",498433,"Criorhina coquilletti",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Diptera","Brachycera","Cyclorrhapha","","Syrphidae","Eristalinae","Milesiini","Criorhina","coquilletti","iNat:3310885",48.89695,-123.406677,"2016-05-10",NA,NA,"Andrew Simon","false","research",479
"Callophrys gryneus plicataria",234704,"Callophrys gryneus plicataria",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Lepidoptera","","","Papilionoidea","Lycaenidae","Theclinae","Eumaeini","Callophrys","gryneus","iNat:3314979",48.898149,-123.341565,"2016-05-17",NA,NA,"","false","research",NA
"Bombus melanopygus",130222,"Bombus melanopygus",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Hymenoptera","Apocrita","Aculeata","Apoidea","Apidae","Apinae","Bombini","Bombus","melanopygus","iNat:3317141",48.897577,-123.40642,"2016-05-10",NA,NA,"Andrew Simon","false","research",550
"Lophocampa argentata",84792,"Lophocampa argentata",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Lepidoptera","","","Noctuoidea","Erebidae","Arctiinae","Arctiini","Lophocampa","argentata","iNat:3317164",48.897577,-123.40642,"2016-05-10",NA,NA,"Andrew Simon","false","research",550
"Feralia deceptiva",452538,"Feralia deceptiva",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Lepidoptera","","","Noctuoidea","Noctuidae","Amphipyrinae","Psaphidini","Feralia","deceptiva","iNat:3317564",48.923613,-123.453845,"2016-03-05",NA,NA,"Cody Clayton","false","research",189
"Adela septentrionella",317689,"Adela septentrionella",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Lepidoptera","","","Adeloidea","Adelidae","Adelinae","","Adela","septentrionella","iNat:3317707",48.932486,-123.483839,"2016-05-13",NA,NA,"Andrew Simon","false","research",87
"Dendrometrinae",460786,"Dendrometrinae",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Coleoptera","Polyphaga","Elateriformia","Elateroidea","Elateridae","Dendrometrinae","","","","iNat:3318722",48.932486,-123.483839,"2016-05-13",NA,NA,"Andrew Simon","false","needs_id",87
